epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9066,3.81933,5.97433,3.22835,0.00023,0.03125,0.00013,1e-05,3.03707,5.41681,3.31482,8.335e-05,8.335e-05,8.335e-05
2,26.6208,3.37305,5.24218,2.93083,0.00053,0.09375,0.00033,6e-05,2.95116,5.32409,3.17156,0.000177319,0.000177319,0.000177319
3,40.3886,2.93805,5.46758,2.56203,0.0013,0.38542,0.0013,0.00018,2.70706,5.19061,2.83315,0.000264686,0.000264686,0.000264686
4,55.0165,2.51191,4.90718,2.26721,0.00256,0.75,0.03588,0.00433,1.99306,4.78428,2.07632,0.000345452,0.000345452,0.000345452
5,68.5887,2.65091,4.25976,2.25008,0.00252,0.75,0.09885,0.01355,1.91224,4.61171,1.98097,0.000419617,0.000419617,0.000419617
6,81.8288,2.44155,4.28378,1.95523,0.00273,0.83333,0.14067,0.04028,2.08362,4.39062,1.81528,0.000487181,0.000487181,0.000487181
7,95.9797,2.14011,3.70193,1.7529,0.00295,0.91667,0.30763,0.04833,2.01683,4.36466,1.94129,0.000548143,0.000548143,0.000548143
8,108.148,2.13216,3.7774,1.75645,0.00295,0.91667,0.30763,0.04833,2.01683,4.36466,1.94129,0.000602504,0.000602504,0.000602504
9,122.74,2.16684,4.1743,1.73654,0.00299,0.91667,0.22856,0.03629,1.84668,4.16252,1.84761,0.000650263,0.000650263,0.000650263
10,136.46,2.05881,3.60659,1.76442,0.00291,0.83333,0.00703,0.0041,1.48232,4.15751,1.68943,0.000691422,0.000691422,0.000691422
11,149.47,2.03232,3.29467,1.71788,0.00291,0.83333,0.00703,0.0041,1.48232,4.15751,1.68943,0.000725979,0.000725979,0.000725979
12,163.76,2.0288,3.19655,1.69591,0.00294,0.83333,0.00605,0.00278,1.87397,4.08216,1.81599,0.000753934,0.000753934,0.000753934
13,177.775,1.91885,3.48863,1.72147,0.00294,0.83333,0.00605,0.00278,1.87397,4.08216,1.81599,0.000775288,0.000775288,0.000775288
14,190.907,1.9561,3.24133,1.67185,0.00294,0.83333,0.00605,0.00278,1.87397,4.08216,1.81599,0.000790041,0.000790041,0.000790041
15,204.694,1.5907,2.38349,1.44273,0.00314,0.91667,0.12617,0.0617,1.53322,3.68685,1.55697,0.000798193,0.000798193,0.000798193
16,212.615,1.94272,2.85845,1.56754,0.00314,0.91667,0.12617,0.0617,1.53322,3.68685,1.55697,0.000799743,0.000799743,0.000799743
17,219.25,1.91586,3.24196,1.65633,0.4881,0.375,0.44466,0.2734,1.46309,3.1724,1.50727,0.000786824,0.000786824,0.000786824
18,226.462,1.46495,2.81071,1.44548,0.4881,0.375,0.44466,0.2734,1.46309,3.1724,1.50727,0.000731813,0.000731813,0.000731813
19,233.359,1.62991,2.72105,1.49843,0.4881,0.375,0.44466,0.2734,1.46309,3.1724,1.50727,0.000676802,0.000676802,0.000676802
20,240.187,1.39807,2.1521,1.32967,0.5,0.38685,0.51427,0.33129,1.47373,2.9803,1.45501,0.000621791,0.000621791,0.000621791
21,247.991,1.65284,3.32765,1.55865,0.5,0.38685,0.51427,0.33129,1.47373,2.9803,1.45501,0.00056678,0.00056678,0.00056678
22,262.028,1.55471,3.24455,1.52277,0.5,0.38685,0.51427,0.33129,1.47373,2.9803,1.45501,0.000511769,0.000511769,0.000511769
23,275.162,1.60165,2.98953,1.55448,0.54189,0.76094,0.56657,0.3459,1.3526,2.68393,1.4488,0.000456758,0.000456758,0.000456758
24,288.611,1.5489,2.99119,1.42209,0.54189,0.76094,0.56657,0.3459,1.3526,2.68393,1.4488,0.000401747,0.000401747,0.000401747
25,301.228,1.67113,3.06415,1.56985,0.81967,0.86796,0.86729,0.571,1.21443,2.44528,1.37997,0.000346736,0.000346736,0.000346736
26,314.373,1.31408,2.94264,1.378,0.81967,0.86796,0.86729,0.571,1.21443,2.44528,1.37997,0.000291725,0.000291725,0.000291725
27,328.089,1.39028,2.84282,1.36314,0.81967,0.86796,0.86729,0.571,1.21443,2.44528,1.37997,0.000236714,0.000236714,0.000236714
28,340.951,1.49213,3.00938,1.4285,0.80884,0.91547,0.91443,0.62351,1.08517,2.23837,1.33352,0.000181703,0.000181703,0.000181703
29,355.007,1.27746,2.73913,1.33584,0.80884,0.91547,0.91443,0.62351,1.08517,2.23837,1.33352,0.000126692,0.000126692,0.000126692
30,367.464,1.31517,2.82074,1.2834,0.80884,0.91547,0.91443,0.62351,1.08517,2.23837,1.33352,7.1681e-05,7.1681e-05,7.1681e-05
